FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-27,MCO,13.0,-2.0,False,False,other
2000-01-28,MCO,11.0,15.0,False,False,other
2000-01-29,MCO,0.0,1.0,False,False,other
2000-01-30,MCO,1.0,7.0,False,False,other
2000-01-31,MCO,-6.0,-2.0,False,False,other
2000-01-01,MCO,-5.0,1.0,False,False,other
2000-01-08,MCO,-11.0,0.0,False,False,other
2000-01-15,MCO,-1.0,-5.0,False,False,other
2000-01-22,MCO,-4.0,-1.0,False,False,other
2000-01-29,MCO,-14.0,-2.0,False,False,other
2000-01-01,MCO,-2.0,-3.0,False,False,other
2000-01-08,MCO,-4.0,-5.0,False,False,other
2000-01-15,MCO,1.0,1.0,False,False,other
2000-01-22,MCO,21.0,4.0,False,False,other
2000-01-29,MCO,-4.0,-2.0,False,False,other
2000-01-01,MIA,-8.0,-6.0,False,False,other
2000-01-02,MIA,-17.0,-5.0,False,False,other
2000-01-03,MIA,-6.0,-6.0,False,False,other
2000-01-04,MIA,-23.0,0.0,False,False,other
2000-01-05,MIA,19.0,10.0,False,False,other
2000-01-06,MIA,-4.0,-1.0,False,False,other
2000-01-07,MIA,-5.0,-2.0,False,False,other
2000-01-08,MIA,0.0,-5.0,False,False,other
2000-01-09,MIA,-4.0,-6.0,False,False,other
2000-01-10,MIA,-15.0,5.0,False,False,other
2000-01-11,MIA,-13.0,-4.0,False,False,other
2000-01-12,MIA,0.0,-5.0,False,False,other
2000-01-13,MIA,-8.0,-3.0,False,False,other
2000-01-14,MIA,22.0,-4.0,False,False,other
2000-01-15,MIA,11.0,-1.0,False,False,other
2000-01-16,MIA,-6.0,1.0,False,False,other
2000-01-17,MIA,24.0,0.0,False,False,other
2000-01-18,MIA,1.0,0.0,False,False,other
2000-01-19,MIA,23.0,-2.0,False,False,other
2000-01-20,MIA,9.0,1.0,False,False,other
2000-01-21,MIA,-3.0,-3.0,False,False,other
2000-01-22,MIA,-4.0,-1.0,False,False,other
2000-01-23,MIA,-6.0,11.0,False,False,other
2000-01-24,MIA,37.0,59.0,False,False,other
2000-01-25,MIA,-3.0,1.0,False,False,other
2000-01-26,MIA,13.0,-5.0,False,False,other
2000-01-27,MIA,146.0,145.0,False,False,other
2000-01-28,MIA,3.0,1.0,False,False,other
2000-01-29,MIA,-1.0,0.0,False,False,other
